KEY,ES,EN
settings_ui_text_caps,AJUSTES,SETTINGS
settings_ui_text,Ajustes,Settings
settings_ui_language_title,Idioma,Language
settings_ui_language_value,Español,English
settings_ui_colorblind_title,Daltonismo,Colorblind
settings_ui_colorblind_value_0,Ninguno,None
settings_ui_colorblind_value_1,Protanopia,Protanopia
settings_ui_colorblind_value_2,Deuteranopia,Deuteranopia
settings_ui_colorblind_value_3,Tritanopia,Tritanopia
settings_ui_sfx,Volumen - SFX,SFX Volume
settings_ui_music,Volumen – Música,Music Volume
settings_ui_save,Guardar Cambios,Save Changes
,,
,,
credits_ui_text,Créditos,Credits
credits_ui_names,Programación. . . <br>\tRaúl Jiménez Expósito<br>\tAlberto Garrote Salamanca<br><br>Arte 3D y Guionista . . .<br>\tEstanislao de Koska Castrillón<br><br>Arte 2D . . .<br>\tGuillermo García Carranza<br><br>SFX y Música . . .<br>\tGuillermo García Carranza<br>\tAndrés García Arquero<br><br>Level Designer . . .<br>\tAndrés García Arquero,Programming. . . <br>\tRaúl Jiménez Expósito<br>\tAlberto Garrote Salamanca<br><br>3D Art & Screenwriter . . .<br>\tEstanislao de Koska Castrillón<br><br>2D Art . . .<br>\tGuillermo García Carranza<br><br>SFX & Music . . .<br>\tGuillermo García Carranza<br>\tAndrés García Arquero<br><br>Level Designer . . .<br>\tAndrés García Arquero
,,
back_ui_text,Volver,Back
exit_ui_text,Salir del Juego,Exit Game
play_ui_text,Jugar,Play
,,
unit_stat_hp,HP,HP
unit_stat_attack,ATQ,ATK
unit_stat_defense,DEF,DEF
unit_stat_initiative,INI,INI
unit_stat_movement,VEL,SPE
unit_stat_price,$$$,$$$
,,
unit_archer,Arquero,Archer
unit_soldier,Soldado,Soldier
unit_tank,Tanque,Tank
unit_thief,Ladrón,Thief
unit_barbarian,Bárbaro,Barbarian
unit_explorer,Explorador,Explorer
unit_flying,Voldadora,Flying
unit_medic,Médico,Medic
,,
level_ui_gold,ORO,GOLD
level_ui_begin,GO,GO
level_ui_turn,Terminar Turno,End Turn
level_ui_reset,Empezar de Nuevo,Reset Level
level_ui_map,Volver al Mapa,Back to Map
level_ui_menu,Volver al Menú,Back to Menu
,,
dlc_italy,DLC Italia<br>El Re - Renacimiento,Italy DLC<br>The Re – Renaissance
dlc_france,DLC Francia<br>Una revolución muy popular,France DLC<br>A very popular revolution
dlc_caribbean,DLC Caribe<br>A diez cañones por banda,Caribbean DLC<br>With ten Cannons per side
dlc_russia,DLC Russia<br>Tenemos Terribles Noticias...,Russian DLC<br>We have Terrible News…
,,
,,
,,
controls_ui_text,Controles,Controls
controls_ui_see,Ver Controles,Read Controls
controls_ui_start,Al empezar un nivel,When a level starts
controls_ui_start_place,Selecciona qué unidades quieres colocar,Choose what units you wish to place
controls_ui_cost,¡¡¡ Fíjate en su coste !!!,Pay attention to their cost !!!
controls_ui_move_pc,WASD o Click Izquierdo para desplazar el Selector de Casillas,WASD or Left Click to move the Tile Selector
controls_ui_select_pc,WASD + Click Derecho<br>/ Solo Click Izquierdo para seleccionar,WASD + Right Click<br>/ Only Left Click to select
controls_ui_rotate_pc,Q y E / Botones de<br>cámara para<br>cambiar de ángulo,Q or E / Camera<br>buttons to<br>change the angle
controls_ui_zoom_pc,Usa la rueda del ratón para ajustar el zoom,Use the mouse wheel to zoom in or out
controls_ui_free_mode_pc,Con la cámara en modo libre podrás deslizar el ratón por la pantalla para moverte,With free mode camera you may swipe with your mouse to move
controls_ui_move_mobile,Toca en la pantalla para desplazar el Selector de Casillas y seleccionar,Touch on the screen to move the Tile Selector and select
controls_ui_rotate_mobile,Botones de<br>cámara para<br>cambiar de ángulo,Camera buttons to<br>change the angle
controls_ui_zoom_mobile,Pellizca la pantalla para ajustar el zoom,Pinch the screen to zoom in or out
controls_ui_free_mode_mobile,Con la cámara en modo libre podrás desliza un dedo sobre la pantalla para moverte,With free mode camera you may swipe with one finger on your screen to move
controls_ui_manage,Dirige a tus unidades eligiendo sus acciones con el Menú de Acciones,Manage your troops choose their actions with the Action Menu
controls_ui_back,Volver,Back
,,
info_ui_soldier,Unidad básica. Usa su habilidad para hacer más daño en el siguiente ataque que realice.<br>No podrás atacar si usas la habilidad.,Basic unit. Uses its ability to deal more damage on its next attack.<br>You won’t be able to attack if you use the ability. 
info_ui_archer,Unidad básica a distancia. Usa su habilidad en un enemigo para hacer daño también a sus dos casillas de detrás de él.<br>Elige entre daño en área o daño único.,Ranged basic unit. Uses its ability on an enemy to also damage the two tiles behind it.<br>Choose between area damage or single-target damage. 
info_ui_tank,Unidad pesada. Usa su habilidad para aumentar su resistencia durante ese turno.<br>Solo podrás usarla si no has atacado ni te has movido en ese turno.,Heavy unit. Uses its ability to increase its resistance during that turn.<br>You can only use it if you haven’t attacked or moved that turn. 
info_ui_explorer,Unidad de reconocimiento.<br>Usa su habilidad para aumentar el rango de movimiento en tu turno. No podrás atacar si la usas.,Recon unit.<br>Uses its ability to increase its movement range on your turn. You won’t be able to attack if you use it. 
info_ui_medic,Unidad de apoyo. Puede usar su habilidad para curar a un aliado a costa de no poder atacar.,Support unit. Can use its ability to heal an ally at the cost of not being able to attack.
,,
auth_title,Iniciar sesión,Log in
auth_username_holder,Nombre de usuario…,Username…
auth_password_holder,Contraseña…,Password...
auth_register,Registrar nuevo usuario,Register new user
auth_anon_start,Iniciar sesión como invitado,Log in as guest
auth_back,Volver atrás,Go back
,,
